city,state,date,rate_5,rate_10,rate_20
Toledo,OH,2025-05-28,1280.701659,1213.296309,976.9414684
Wichita,KS,2025-05-29,1444.865826,1368.820256,1102.168746
Durham,NC,2025-05-30,2788.656971,2641.885551,2127.235969
Augusta,GA,2025-05-31,1574.750519,1491.868912,1201.247045
Palm Bay,FL,2025-06-01,2383.182555,2257.751895,1817.933043
Jackson,MS,2025-06-02,1334.501534,1264.264611,1017.980947
Harrisburg,PA,2025-06-03,1951.868601,1849.138675,1488.919268
Spokane,WA,2025-06-04,2788.921512,2642.13617,2127.437766
Scranton,PA,2025-06-05,1431.839082,1356.47913,1092.231719
Chattanooga,TN,2025-06-06,2077.391484,1968.05509,1584.670303
Modesto,CA,2025-06-07,3202.760905,3034.194541,2443.121642
Lancaster,PA,2025-06-08,2440.709155,2312.250778,1861.815332
Portland,ME,2025-06-09,3508.400406,3323.747753,2676.268762
Youngstown,OH,2025-06-10,1068.709472,1012.461605,815.2301458
Lansing,MI,2025-06-11,1556.171219,1474.26747,1187.074432
Fayetteville,AR,2025-06-12,2372.378409,2247.516387,1809.691452
Fayetteville,NC,2025-06-13,1662.238088,1574.751873,1267.984082
Lexington,KY,2025-06-14,2062.082375,1953.551724,1572.992249
Pensacola,FL,2025-06-15,2049.227511,1941.373432,1563.186336
Santa Rosa,CA,2025-06-16,5504.159491,5214.466886,4198.668453
Reno,NV,2025-06-17,3771.763079,3573.249233,2877.166383
Huntsville,AL,2025-06-18,2062.706476,1954.142978,1573.468324
Port St. Lucie,FL,2025-06-19,2685.092573,2543.771911,2048.235248
Lafayette,LA,2025-06-20,1285.842328,1218.166416,980.8628593
Myrtle Beach,SC,2025-06-21,2265.995616,2146.732689,1728.54081
Springfield,MO,2025-06-22,1758.078912,1665.548443,1341.093127
Visalia,CA,2025-06-23,2392.211509,2266.30564,1824.820485
Killeen,TX,2025-06-24,1700.673785,1611.164638,1297.3035
Asheville,NC,2025-06-25,2934.077333,2779.65221,2238.165147
York,PA,2025-06-26,1946.150647,1843.721665,1484.557513
Vallejo,CA,2025-06-27,4036.252441,3823.818102,3078.923461
Santa Maria,CA,2025-06-28,6691.544996,6339.358418,5104.426739
Salinas,CA,2025-06-29,5757.230086,5454.217976,4391.715098
Salem,OR,2025-06-30,3010.666782,2852.210636,2296.588909
Mobile,AL,2025-07-01,1280.318452,1212.93327,976.6491509
Reading,PA,2025-07-02,1980.764539,1876.513773,1510.961591
Corpus Christi,TX,2025-07-03,1475.318584,1397.670237,1125.398638
Brownsville,TX,2025-07-04,1345.69865,1274.872405,1026.522302
Manchester,NH,2025-07-05,3361.396082,3184.480498,2564.13131
Fort Wayne,IN,2025-07-06,1649.633813,1562.810981,1258.369323
Gulfport,MS,2025-07-07,1431.254633,1355.925442,1091.785891
Salisbury,DE,2025-07-08,2834.550617,2685.363742,2162.24444
Flint,MI,2025-07-09,1176.431123,1114.513695,897.4020922
Peoria,IL,2025-07-10,1026.438978,972.4158737,782.9854789
Canton,OH,2025-07-11,1377.903418,1305.382185,1051.088658
Savannah,GA,2025-07-12,2350.662254,2226.943188,1793.125992
Anchorage,AK,2025-07-13,2667.518053,2527.122366,2034.829099
Beaumont,TX,2025-07-14,1132.093963,1072.51007,863.5809367
Shreveport,LA,2025-07-15,1144.709058,1084.461213,873.2039503
Trenton,NJ,2025-07-16,2908.993769,2755.888834,2219.030969
Montgomery,AL,2025-07-17,1331.667821,1261.580041,1015.819341
Davenport,IL,2025-07-18,1200.899954,1137.694693,916.0673416
Tallahassee,FL,2025-07-19,1893.565078,1793.903758,1444.444328
Eugene,OR,2025-07-20,3060.5193,2899.439337,2334.617276
Naples,FL,2025-07-21,3998.54658,3788.09676,3050.160776
Ann Arbor,MI,2025-07-22,2681.445448,2540.31674,2045.453158
Ocala,FL,2025-07-23,1885.81313,1786.559808,1438.531008
Hickory,NC,2025-07-24,1711.569194,1621.486605,1305.614707
Huntington,OH,2025-07-25,1021.2582,967.5077687,779.0334919
Fort Collins,CO,2025-07-26,3808.004482,3607.583193,2904.811954
Rockford,IL,2025-07-27,1330.730176,1260.691746,1015.10409
Lincoln,NE,2025-07-28,1964.022666,1860.653052,1498.1906
Gainesville,FL,2025-07-29,2058.118919,1949.796871,1569.968856
Boulder,CO,2025-07-30,5068.208011,4801.460221,3866.117093
Green Bay,WI,2025-07-31,2134.764928,2022.408879,1628.435763
Columbus,GA,2025-08-01,1295.543131,1227.356651,988.262801
South Bend,IN,2025-08-02,1473.058573,1395.529175,1123.674663
Spartanburg,SC,2025-08-03,1818.71287,1722.99114,1387.345763
Greeley,CO,2025-08-04,3439.321902,3258.30496,2623.57448
Lubbock,TX,2025-08-05,1366.57029,1294.645538,1042.443551
Clarksville,TN,2025-08-06,1875.745949,1777.022478,1430.851587
Roanoke,VA,2025-08-07,1908.598179,1808.145643,1455.911838
Evansville,IN,2025-08-08,1424.987231,1349.987903,1087.005008
Kingsport,TN,2025-08-09,1577.322838,1494.305847,1203.209255
Kennewick,WA,2025-08-10,2929.63001,2775.438957,2234.772652
Utica,NY,2025-08-11,1387.860639,1314.815343,1058.684199
Hagerstown,MD,2025-08-12,2118.414201,2006.918716,1615.963144
Duluth,MN,2025-08-13,1615.78548,1530.744139,1232.549226
Olympia,WA,2025-08-14,3558.021249,3370.756973,2714.120403
Longview,TX,2025-08-15,1449.648292,1373.351013,1105.816894
Wilmington,NC,2025-08-16,2958.211679,2802.516327,2256.575245
San Luis Obispo,CA,2025-08-17,6134.929089,5812.038085,4679.830458
Crestview,FL,2025-08-18,2925.45428,2771.483002,2231.587333
Merced,CA,2025-08-19,2839.25677,2689.822204,2165.834375
Waco,TX,2025-08-20,1715.061266,1624.794883,1308.27852
Cedar Rapids,IA,2025-08-21,1492.698005,1414.134953,1138.655963
Atlantic City,NJ,2025-08-22,2463.129557,2333.491159,1878.918005
Bremerton,WA,2025-08-23,3852.496065,3649.733114,2938.750906
Sioux Falls,SD,2025-08-24,2246.582755,2128.341557,1713.732343
Santa Cruz,CA,2025-08-25,7877.457585,7462.854554,6009.061458
Erie,PA,2025-08-26,1351.119716,1280.008152,1030.657585
Norwich,CT,2025-08-27,2630.895179,2492.427012,2006.892535
Amarillo,TX,2025-08-28,1405.862713,1331.869938,1072.416494
Laredo,TX,2025-08-29,1430.981626,1355.666803,1091.577637
Tuscaloosa,AL,2025-08-30,1476.727824,1399.005307,1126.473631
College Station,TX,2025-08-31,2036.753943,1929.556367,1553.671281
Kalamazoo,MI,2025-09-01,1758.294985,1665.753144,1341.257952
Lynchburg,VA,2025-09-02,1850.969896,1753.550428,1411.951984
Charleston,WV,2025-09-03,962.926581,912.2462347,734.5371197
Yakima,WA,2025-09-04,2322.516985,2200.279248,1771.656292
Fargo,ND,2025-09-05,2098.410579,1987.967917,1600.704034
Binghamton,NY,2025-09-06,1199.620264,1136.482355,915.0911715
Fort Smith,AR,2025-09-07,1276.80675,1209.606395,973.9703638
Appleton,WI,2025-09-08,2152.49928,2039.209844,1641.963834
Topeka,KS,2025-09-09,1400.200371,1326.505615,1068.097161
Macon,GA,2025-09-10,1260.927626,1194.563014,961.8574922
Tyler,TX,2025-09-11,1821.579157,1725.70657,1389.532217
Barnstable Town,MA,2025-09-12,5011.955012,4748.167906,3823.206328
Daphne,AL,2025-09-13,2607.201254,2469.980136,1988.818397
Bellingham,WA,2025-09-14,4164.393334,3945.214737,3176.67156
Burlington,VT,2025-09-15,3123.018929,2958.649512,2382.293078
Rochester,MN,2025-09-16,2176.698156,2062.135095,1660.423157
Lafayette,IN,2025-09-17,1825.604493,1729.520046,1392.602813
Champaign,IL,2025-09-18,1430.047226,1354.781583,1090.86486
Medford,OR,2025-09-19,2912.598852,2759.304176,2221.780989
Charlottesville,VA,2025-09-20,3061.529755,2900.39661,2335.388069
Lake Charles,LA,2025-09-21,1243.150345,1177.721379,948.2966732
Las Cruces,NM,2025-09-22,1912.227303,1811.58376,1458.680197
Chico,CA,2025-09-23,2697.024345,2555.075696,2057.337011
Hilton Head Island,SC,2025-09-24,3550.327574,3363.468228,2708.251534
Athens,GA,2025-09-25,2429.72989,2301.849369,1853.440158
Lake Havasu City,AZ,2025-09-26,2399.974761,2273.6603,1830.74243
Columbia,MO,2025-09-27,2048.682963,1940.857544,1562.770945
Springfield,IL,2025-09-28,1202.23445,1138.958952,917.0853181
Houma,LA,2025-09-29,1192.205698,1129.45803,909.4352122
Monroe,LA,2025-09-30,1059.228171,1003.47932,807.9976448
Elkhart,IN,2025-10-01,1666.791023,1579.065179,1271.45714
Johnson City,TN,2025-10-02,1803.775263,1708.839723,1375.951098
Yuma,AZ,2025-10-03,1905.259246,1804.982444,1453.364843
Gainesville,GA,2025-10-04,2623.497503,2485.418687,2001.249459
Jacksonville,NC,2025-10-05,1899.346806,1799.381185,1448.854731
Florence,SC,2025-10-06,1210.064828,1146.377206,923.0584668
St. Cloud,MN,2025-10-07,2050.377747,1942.463129,1564.063756
Racine,WI,2025-10-08,1885.086144,1785.871083,1437.97645
Bend,OR,2025-10-09,4591.599956,4349.936801,3502.552191
Saginaw,MI,2025-10-10,1059.404901,1003.646748,808.1324577
Warner Robins,GA,2025-10-11,1638.506781,1552.269582,1249.881429
Terre Haute,IN,2025-10-12,1063.796167,1007.806895,811.4821915
Punta Gorda,FL,2025-10-13,2232.704115,2115.193372,1703.145476
Billings,MT,2025-10-14,2698.744929,2556.705722,2058.649503
Redding,CA,2025-10-15,2514.31698,2381.984507,1917.96466
Kingston,NY,2025-10-16,2819.098397,2670.724797,2150.457218
Panama City,FL,2025-10-17,2288.683345,2168.226327,1745.847405
Joplin,MO,2025-10-18,1443.382587,1367.415082,1101.037305
Dover,DE,2025-10-19,2424.040425,2296.45935,1849.100136
El Centro,CA,2025-10-20,2440.813285,2312.349428,1861.894765
Jackson,TN,2025-10-21,1303.129479,1234.543717,994.0497984
Yuba City,CA,2025-10-22,2911.422053,2758.189313,2220.883306
Bowling Green,KY,2025-10-23,1718.520736,1628.072277,1310.917464
St. George,UT,2025-10-24,3575.987062,3387.777217,2727.825037
Muskegon,MI,2025-10-25,1554.38952,1472.579545,1185.715321
Abilene,TX,2025-10-26,1289.120338,1221.271899,983.3633825
Iowa City,IA,2025-10-27,1945.508495,1843.113311,1484.067669
Auburn,AL,2025-10-28,2169.727624,2055.531433,1655.105914
Midland,TX,2025-10-29,2159.465702,2045.809612,1647.277942
Bloomington,IL,2025-10-30,1612.46599,1527.599359,1230.017062
Hattiesburg,MS,2025-10-31,1364.308365,1292.502662,1040.718116
Oshkosh,WI,2025-11-01,1886.736511,1787.43459,1439.235379
Eau Claire,WI,2025-11-02,2035.788439,1928.641679,1552.934778
Greenville,NC,2025-11-03,1644.487406,1557.935437,1254.443554
Burlington,NC,2025-11-04,1924.974665,1823.660209,1468.404106
Waterloo,IA,2025-11-05,1300.891943,1232.423946,992.3429674
Coeur d'Alene,ID,2025-11-06,3825.892356,3624.5296,2918.457135
East Stroudsburg,PA,2025-11-07,2041.741994,1934.281889,1557.476253
Pueblo,CO,2025-11-08,1968.337932,1864.741199,1501.48236
Blacksburg,VA,2025-11-09,1816.168915,1720.581078,1385.405191
Wausau,WI,2025-11-10,1618.89671,1533.69162,1234.922527
Kahului,HI,2025-11-11,7216.597598,6836.776671,5504.945982
Janesville,WI,2025-11-12,1806.137485,1711.077617,1377.753042
Bloomington,IN,2025-11-13,1976.743037,1872.70393,1507.89392
Odessa,TX,2025-11-14,1635.903107,1549.802943,1247.895301
Jackson,MI,2025-11-15,1421.897559,1347.060846,1084.648153
State College,PA,2025-11-16,2254.447582,2135.792446,1719.731769
Sebastian,FL,2025-11-17,2536.757111,2403.243579,1935.082382
Madera,CA,2025-11-18,2840.655746,2691.147549,2166.901539
Decatur,AL,2025-11-19,1520.491899,1440.46601,1159.857628
Chambersburg,PA,2025-11-20,1848.066097,1750.79946,1409.736915
Vineland,NJ,2025-11-21,1757.474175,1664.975534,1340.631823
Idaho Falls,ID,2025-11-22,2694.492192,2552.676814,2055.405441
Grand Junction,CO,2025-11-23,2799.025313,2651.708191,2135.145121
Elizabethtown,KY,2025-11-24,1580.716523,1497.520916,1205.798017
Niles,MI,2025-11-25,1695.791525,1606.539339,1293.579227
Monroe,MI,2025-11-26,1678.913194,1590.549342,1280.704143
Santa Fe,NM,2025-11-27,3732.367634,3535.927232,2847.114853
Alexandria,LA,2025-11-28,1047.307914,992.1864452,798.9046663
Traverse City,MI,2025-11-29,2670.644386,2530.084156,2037.21392
Bangor,ME,2025-11-30,1778.683831,1685.068893,1356.810918
Homosassa Springs,FL,2025-12-01,1888.397221,1789.007893,1440.502197
Hanford,CA,2025-12-02,2394.275901,2268.26138,1826.39524
Jefferson City,MO,2025-12-03,1706.244844,1616.442484,1301.553201
Florence,AL,2025-12-04,1407.587168,1333.503633,1073.731938
Dothan,AL,2025-12-05,1233.109405,1168.20891,940.6372704
Albany,GA,2025-12-06,1059.684106,1003.911258,808.3454398
Sioux City,IA,2025-12-07,1381.597733,1308.882063,1053.906746
Wichita Falls,TX,2025-12-08,1134.706464,1074.985071,865.573798
Texarkana,TX,2025-12-09,1139.897516,1079.90291,869.5336226
Valdosta,GA,2025-12-10,1390.065232,1316.903904,1060.365901
Logan,UT,2025-12-11,3071.83201,2910.156641,2343.246807
Flagstaff,AZ,2025-12-12,4308.26722,4081.516314,3286.42106
Rocky Mount,NC,2025-12-13,1338.261771,1267.826941,1020.849321
Dalton,GA,2025-12-14,1614.245369,1529.285086,1231.374403
Lebanon,PA,2025-12-15,1972.416899,1868.605484,1504.593867
Morristown,TN,2025-12-16,1896.001379,1796.211833,1446.302781
Winchester,VA,2025-12-17,2533.316236,2399.983802,1932.457622
Wheeling,OH,2025-12-18,903.5860541,856.0288933,689.2711351
Morgantown,WV,2025-12-19,1542.956541,1461.748302,1176.994047
La Crosse,WI,2025-12-20,2012.184028,1906.279605,1534.928923
Napa,CA,2025-12-21,6148.781723,5825.161633,4690.397488
Rapid City,SD,2025-12-22,2434.958461,2306.802752,1857.428603
Sumter,SC,2025-12-23,1259.001313,1192.738086,960.3880673
Springfield,OH,2025-12-24,1272.277381,1205.315414,970.5152825
Harrisonburg,VA,2025-12-25,2217.665155,2100.945936,1691.673495
Battle Creek,MI,2025-12-26,1187.15686,1124.67492,905.5838705
Sherman,TX,2025-12-27,1939.674086,1837.585976,1479.61708
Manhattan,KS,2025-12-28,1698.946806,1609.528553,1295.98613
Carbondale,IL,2025-12-29,897.402649,850.1709306,684.5543263
Johnstown,PA,2025-12-30,723.5344391,685.4536791,551.9246361
Jonesboro,AR,2025-12-31,1273.554983,1206.525773,971.4898593
Bismarck,ND,2026-01-01,2283.371183,2163.193752,1741.795195
Hammond,LA,2026-01-02,1400.235407,1326.538807,1068.123887
Pittsfield,MA,2026-01-03,2495.885165,2364.522788,1903.904551
Mount Vernon,WA,2026-01-04,3947.123636,3739.380286,3010.934461
The Villages,FL,2026-01-05,2721.492195,2578.255764,2076.001512
Albany,OR,2026-01-06,2795.191015,2648.075698,2132.220252
Glens Falls,NY,2026-01-07,1903.476381,1803.293413,1452.004842
Lawton,OK,2026-01-08,938.8465017,889.433528,716.168417
Cleveland,TN,2026-01-09,1979.940918,1875.733501,1510.333319
Sierra Vista,AZ,2026-01-10,1744.501509,1652.68564,1330.736049
Ames,IA,2026-01-11,1679.944652,1591.526512,1281.490957
Mansfield,OH,2026-01-12,1208.890918,1145.26508,922.1629874
Staunton,VA,2026-01-13,2104.54512,1993.779587,1605.383568
Altoona,PA,2026-01-14,1141.120029,1081.06108,870.4661764
New Bern,NC,2026-01-15,1706.892449,1617.056004,1302.047204
Farmington,NM,2026-01-16,1692.046719,1602.991628,1290.722624
St. Joseph,MO,2026-01-17,1284.626411,1217.014495,979.9353372
San Angelo,TX,2026-01-18,1586.594034,1503.089084,1210.281484
Wenatchee,WA,2026-01-19,3385.337708,3207.162039,2582.394399
Owensboro,KY,2026-01-20,1317.095555,1247.774736,1004.703364
Lawrence,KS,2026-01-21,2162.931656,2049.093148,1649.921832
Goldsboro,NC,2026-01-22,1194.084145,1131.237611,910.8681244
Watertown,NY,2026-01-23,1399.010718,1325.378575,1067.189673
Sheboygan,WI,2026-01-24,1967.273354,1863.732651,1500.670281
Weirton,OH,2026-01-25,858.7550471,813.5574131,655.0732644
Missoula,MT,2026-01-26,3830.740109,3629.122208,2922.155085
Bozeman,MT,2026-01-27,4817.897183,4564.323647,3675.175646
Anniston,AL,2026-01-28,1065.799674,1009.704955,813.0105019
Beckley,WV,2026-01-29,925.7773712,877.0522464,706.1990572
Williamsport,PA,2026-01-30,1486.977998,1408.715998,1134.292642
Brunswick,GA,2026-01-31,2056.460231,1948.225482,1568.70358
California,MD,2026-02-01,2805.296019,2657.64886,2139.928525
Twin Falls,ID,2026-02-02,2459.040656,2329.617463,1875.79892
Muncie,IN,2026-02-03,1056.581339,1000.971795,805.9785959
Michigan City,IN,2026-02-04,1613.704248,1528.772445,1230.961626
Lewiston,ME,2026-02-05,2169.993254,2055.783083,1655.308542
Longview,WA,2026-02-06,2796.096789,2648.9338,2132.911192
Kankakee,IL,2026-02-07,1380.666014,1307.999382,1053.196014
Ithaca,NY,2026-02-08,2255.923152,2137.190355,1720.85736
Grand Forks,MN,2026-02-09,1722.306927,1631.659194,1313.805636
Decatur,IL,2026-02-10,765.2076977,724.9336084,583.7137216
Bay City,MI,2026-02-11,1122.402116,1063.32832,856.1878275
Fond du Lac,WI,2026-02-12,1793.406756,1699.016927,1368.04182
Gettysburg,PA,2026-02-13,2126.915174,2014.97227,1622.447834
Gadsden,AL,2026-02-14,1163.716933,1102.468673,887.7034872
Mankato,MN,2026-02-15,1993.399761,1888.483985,1520.599958
Lima,OH,2026-02-16,1186.930697,1124.46066,905.4113496
Sebring,FL,2026-02-17,1643.23661,1556.750472,1253.489425
Cheyenne,WY,2026-02-18,2529.728124,2396.584539,1929.720548
Hot Springs,AR,2026-02-19,1650.829646,1563.943875,1259.281525
Dubuque,IA,2026-02-20,1740.69518,1649.079644,1327.832515
Pinehurst,NC,2026-02-21,2776.301295,2630.180174,2117.810845
Paducah,KY,2026-02-22,1031.066572,976.7999098,786.5154878
Victoria,TX,2026-02-23,1468.122923,1390.853295,1119.909663
Rome,GA,2026-02-24,1502.117899,1423.059062,1145.841621
Cape Girardeau,MO,2026-02-25,1456.347257,1379.697402,1110.926981
Fairbanks,AK,2026-02-26,2005.671834,1900.110159,1529.961309
Cumberland,MD,2026-02-27,1055.871178,1000.299011,805.4368728
Ocean City,NJ,2026-02-28,4891.923968,4634.454286,3731.644564
Corvallis,OR,2026-03-01,3700.335277,3505.580789,2822.680015
Pocatello,ID,2026-03-02,2318.410682,2196.389067,1768.523933
Parkersburg,WV,2026-03-03,1096.966707,1039.231617,836.7852557
Pine Bluff,AR,2026-03-04,631.6891366,598.44234,481.8634443
Grants Pass,OR,2026-03-05,2680.203526,2539.140183,2044.505798
Elmira,NY,2026-03-06,991.8856229,939.6811164,756.6275797
Great Falls,MT,2026-03-07,2210.951477,2094.58561,1686.552185
Midland,MI,2026-03-08,1486.742106,1408.492521,1134.112699
Kokomo,IN,2026-03-09,1189.428276,1126.826788,907.3165461
Bloomsburg,PA,2026-03-10,1557.134373,1475.179932,1187.809143
Helena,MT,2026-03-11,3133.192919,2968.288028,2390.053974
Columbus,IN,2026-03-12,1786.259204,1692.245561,1362.589544
Hinesville,GA,2026-03-13,1666.279648,1578.580719,1271.067055
Casper,WY,2026-03-14,2047.144291,1939.399855,1561.597219
Minot,ND,2026-03-15,1681.877568,1593.357696,1282.965419
Grand Island,NE,2026-03-16,1654.349941,1567.278892,1261.966867
Sandusky,OH,2026-03-17,1538.132759,1457.178403,1173.314382
Danville,IL,2026-03-18,574.4568724,544.2223001,438.2056791
Lewiston,ID,2026-03-19,2454.355995,2325.179364,1872.225379
Enid,OK,2026-03-20,882.6962168,836.2385212,673.3360044
Walla Walla,WA,2026-03-21,2766.563549,2620.954941,2110.382724
Carson City,NV,2026-03-22,3249.056419,3078.05345,2478.436664
Eagle Pass,TX,2026-03-23,1528.736396,1448.276586,1166.146673
